Report Number,Category,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2010-140959,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3332624,47.59239522
2010-141738,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3448961,47.71717447
2010-141738,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3448961,47.71717447
2010-141867,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3208358,47.61757129
2010-142424,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3471636,47.61375921
2010-142560,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER VIEW,-122.2581925,47.51519017
2010-143694,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3303431,47.59828896
2010-143891,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH DELRIDGE,-122.3630317,47.54838389
2010-144088,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,COLUMBIA CITY,-122.284837,47.55744456
2010-145473,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HIGH POINT,-122.3710252,47.54765734
2010-145666,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3290479,47.59193047
2010-145852,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD SOUTH,-122.3678651,47.6621954
2010-146549,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.2959087,47.57541836
2010-147131,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3302035,47.60919323
2010-147477,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FAUNTLEROY SW,-122.3767307,47.52196556
2010-147541,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.311909,47.56262085
2010-147941,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.337592,47.61120737
2010-148913,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3480272,47.61309146
2010-151630,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GENESEE,-122.2886119,47.56564955
2010-152618,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.2919706,47.62307183
2010-152626,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3424026,47.6121175
2010-154728,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH BEACON HILL,-122.2878549,47.53034344
2010-154833,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3173635,47.67111565
2010-157798,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,JUDKINS PARK/NORTH BEACON HILL,-122.3038094,47.59927115
2010-158394,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.316756,47.612226
2010-158646,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3364342,47.60658579
2010-160285,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROOSEVELT/RAVENNA,-122.3076615,47.67670645
